ds,yhat,yhat_lower,yhat_upper
2018-07-15,3793.221812049515,-2480.4832020422405,10960.860312201747
2018-07-16,3919.894636252918,-3056.278367447934,10425.966820936877
2018-07-17,3968.9766978564694,-2538.0018635281403,10494.197124800332
2018-07-18,4137.910644807364,-2272.613655981174,10478.625904311015
2018-07-19,4100.892535136748,-3011.094130285171,10595.339186746165
2018-07-20,4210.313988093408,-2520.9803860515085,11180.091148652664
2018-07-21,4271.737035347032,-2530.541032951232,11509.090904214292
2018-07-22,4318.775514256333,-2669.462548937327,10491.993464066645
2018-07-23,4428.381390323314,-2293.7493032022,10976.128949478973
2018-07-24,4453.389709605362,-2141.214868658542,11391.469014967995
2018-07-25,4592.244079657304,-1769.2243102446698,12217.348105089155
2018-07-26,4520.185572937711,-2196.896766721794,10800.287794817059
2018-07-27,4590.664769538957,-1896.7194565850689,11175.828851465145
2018-07-28,4610.287747963321,-1926.3288789301212,11432.079307400081
2018-07-29,4613.670655861917,-2368.3492643081145,11125.274714209469
2018-07-30,4678.701949907067,-2349.560833760728,11259.474752375196
2018-07-31,4659.066601127441,-2506.9669908481715,11147.118075714876
2018-08-01,4753.954638402089,-2656.5616317692306,11150.149800530296
2018-08-02,4639.237265831243,-2261.341305985148,11354.774209623196
2018-08-03,4668.870473701889,-1898.584966053929,11762.463923745916
2018-08-04,4649.837013493052,-2328.8567296232814,11202.851149187678
2018-08-05,4617.001291666958,-2008.0256939448498,10794.841599160869
2018-08-06,4648.376061739762,-2209.1545127648615,11488.863322126545
2018-08-07,4584.161274240747,-2308.6288271697226,11426.456097442286
2018-08-08,4636.945042301871,-2340.5302403017427,11244.7816099006
2018-08-09,4482.4133776417375,-2539.803791082866,11077.369357242722
2018-08-10,4474.26406379205,-2024.902920786413,11155.113695704771
2018-08-11,4419.16685879669,-2152.4593487993693,11454.920415368213
2018-08-12,4351.637505721582,-1711.5244404512791,11264.656715835814
2018-08-13,4349.3237436237405,-2515.999973378363,10993.750781045972
2018-08-14,4265.556613668327,-2596.506200096619,11103.417018406248
2018-08-15,4299.088361492054,-2226.584824695573,10509.623945722074
2018-08-16,4125.2990666158685,-2584.902603046433,10731.530310955064
2018-08-17,4097.630817094638,-2925.3190096721946,11026.799538592173
2018-08-18,4022.559237420414,-2882.0572730485314,10897.078392555808
2018-08-19,3934.4759346967853,-2663.1046545431177,11152.91050577949
2018-08-20,3910.9798559440674,-2835.033231273486,10836.110484479474
